Nuclide,Element,Z,N,A,BE_exp_MeV,sigma_exp_MeV,sigma_exp_keV
177Ir,Ir,77,100,177,1404.4300056,0.0197532,19.7532
178Ir,Ir,77,101,178,1412.708214,0.0188146,18.8146
179Ir,Ir,77,102,179,1422.6069392,0.0097734,9.7734
180Ir,Ir,77,103,180,1430.574066,0.021708,21.708
181Ir,Ir,77,104,181,1440.1308802,0.005249,5.249000000000001
182Ir,Ir,77,105,182,1447.7908536,0.0209664,20.9664
183Ir,Ir,77,106,183,1457.0126208,0.0246684,24.6684
184Ir,Ir,77,107,184,1464.4926528,0.0279496,27.9496
185Ir,Ir,77,108,185,1473.288681,0.0279535,27.9535
186Ir,Ir,77,109,186,1480.1967978,0.0165168,16.5168
187Ir,Ir,77,110,187,1488.6451404,0.0279378,27.9378
188Ir,Ir,77,111,188,1495.5120256,0.0094188,9.4188
189Ir,Ir,77,112,189,1503.6880446,0.0125685,12.5685
190Ir,Ir,77,113,190,1510.063323,0.001368,1.368
191Ir,Ir,77,114,191,1518.0898504,0.0013179,1.3179
192Ir,Ir,77,115,192,1524.2879808,0.0013056,1.3056
193Ir,Ir,77,116,193,1532.0599778,0.0013317,1.3317
194Ir,Ir,77,117,194,1538.126769,0.0013386,1.3386
195Ir,Ir,77,118,195,1545.35862,0.001326,1.326
196Ir,Ir,77,119,196,1551.1731452,0.038416,38.416
197Ir,Ir,77,120,197,1558.0730591,0.0201137,20.1137
199Ir,Ir,77,122,199,1570.3501134,0.0410537,41.0537
168Pt,Pt,78,90,168,1305.9684456,0.14994,149.94
170Pt,Pt,78,92,170,1327.400205,0.018241,18.241
171Pt,Pt,78,93,171,1336.6388907,0.0809514,80.9514
172Pt,Pt,78,94,172,1348.350312,0.0103716,10.3716
173Pt,Pt,78,95,173,1357.2517088,0.0634391,63.4391
174Pt,Pt,78,96,174,1368.7038882,0.0103356,10.3356
175Pt,Pt,78,97,175,1377.16628,0.01862,18.62
176Pt,Pt,78,98,176,1388.4628384,0.0127072,12.7072
177Pt,Pt,78,99,177,1396.9706592,0.0149919,14.9919
178Pt,Pt,78,100,178,1407.669034,0.0101282,10.1282
179Pt,Pt,78,101,179,1416.0109861,0.0079834,7.9834
180Pt,Pt,78,102,180,1426.244058,0.010044,10.044
181Pt,Pt,78,103,181,1434.2670051,0.0136836,13.6836
182Pt,Pt,78,104,182,1444.1252462,0.0130858,13.0858
183Pt,Pt,78,105,183,1451.8013298,0.0142191,14.2191
184Pt,Pt,78,106,184,1461.4319416,0.0147384,14.7384
185Pt,Pt,78,107,185,1468.8589115,0.025826,25.826
186Pt,Pt,78,108,186,1478.1065484,0.0217434,21.7434
187Pt,Pt,78,109,187,1484.9987713,0.0240669,24.0669
188Pt,Pt,78,110,188,1494.2057076,0.0053016,5.3016
189Pt,Pt,78,111,189,1500.9254505,0.0100926,10.0926
190Pt,Pt,78,112,190,1509.833879,0.000665,0.665
191Pt,Pt,78,113,191,1516.2970289,0.0041256,4.1256
192Pt,Pt,78,114,192,1524.9585216,0.0025728,2.5728
193Pt,Pt,78,115,193,1531.2209875,0.001351,1.351
194Pt,Pt,78,116,194,1539.572748,0.0005044,0.5044
195Pt,Pt,78,117,195,1545.677835,0.000507,0.507
196Pt,Pt,78,118,196,1553.5998212,0.0005096,0.5096
197Pt,Pt,78,119,197,1559.4463658,0.0005319,0.5318999999999999
198Pt,Pt,78,120,198,1567.0019376,0.0020988,2.0988
199Pt,Pt,78,121,199,1572.5579189,0.0021691,2.1691
200Pt,Pt,78,122,200,1579.83972,0.02012,20.12
201Pt,Pt,78,123,201,1585.0525737,0.0501093,50.1093
202Pt,Pt,78,124,202,1592.0753018,0.025149,25.149
171Au,Au,79,92,171,1325.9522799,0.0207081,20.7081
172Au,Au,79,93,172,1335.7792964,0.056158,56.158
173Au,Au,79,94,173,1347.3646204,0.0227841,22.7841
175Au,Au,79,96,175,1368.0789325,0.03857,38.57
176Au,Au,79,97,176,1377.2675312,0.033176,33.17599999999999
177Au,Au,79,98,177,1388.3636271,0.0099651,9.9651
178Au,Au,79,99,178,1397.1922388,0.0102528,10.2528
179Au,Au,79,100,179,1407.9490946,0.0116887,11.6887
180Au,Au,79,101,180,1416.657492,0.004752,4.752
181Au,Au,79,102,181,1426.9742979,0.0199824,19.9824
182Au,Au,79,103,182,1435.4784444,0.0187642,18.7642
183Au,Au,79,104,183,1445.4372852,0.0094245,9.4245
184Au,Au,79,105,184,1453.6358248,0.0222824,22.2824
185Au,Au,79,106,185,1463.246585,0.0026085,2.6085
186Au,Au,79,107,186,1471.1746074,0.0209622,20.9622
187Au,Au,79,108,187,1480.5598401,0.0224961,22.4961
188Au,Au,79,109,188,1487.9736956,0.0027072,2.7072
189Au,Au,79,110,189,1497.2556564,0.0200907,20.0907
190Au,Au,79,111,190,1504.578555,0.003439,3.439
191Au,Au,79,112,191,1513.6142429,0.0049278,4.9278
192Au,Au,79,113,192,1520.6598336,0.0158208,15.8208
193Au,Au,79,114,193,1529.3638064,0.0086657,8.6657
194Au,Au,79,115,194,1536.2422336,0.0021146,2.1146
195Au,Au,79,116,195,1544.668671,0.0011115,1.1115
196Au,Au,79,117,196,1551.3116388,0.0029596,2.9596
197Au,Au,79,118,197,1559.3839956,0.0005516,0.5516
198Au,Au,79,119,198,1565.896365,0.0005346,0.5346
199Au,Au,79,120,199,1573.4806421,0.0005373,0.5373
200Au,Au,79,121,200,1579.6983,0.02672,26.72
201Au,Au,79,122,201,1586.9302152,0.003216,3.216
202Au,Au,79,123,202,1592.95382,0.0232906,23.2906
203Au,Au,79,124,203,1599.815595,0.0030856,3.0856
172Hg,Hg,80,92,172,1326.7403008,0.15007,150.07
174Hg,Hg,80,94,174,1348.4626074,0.0192096,19.2096
175Hg,Hg,80,95,175,1357.862345,0.0810775,81.0775
176Hg,Hg,80,96,176,1369.748864,0.0111232,11.1232
177Hg,Hg,80,97,177,1378.8113619,0.0847299,84.7299
178Hg,Hg,80,98,178,1390.4222046,0.0107512,10.7512
179Hg,Hg,80,99,179,1399.1110949,0.0281209,28.1209
180Hg,Hg,80,100,180,1410.499998,0.012636,12.636
181Hg,Hg,80,101,181,1418.9819352,0.015385,15.385
182Hg,Hg,80,102,182,1429.9690132,0.0097916,9.791599999999999
183Hg,Hg,80,103,183,1438.2680955,0.0070821,7.0821
184Hg,Hg,80,104,184,1448.8795536,0.0095312,9.5312
185Hg,Hg,80,105,185,1456.7897335,0.0136345,13.6345
186Hg,Hg,80,106,186,1467.216453,0.0116436,11.6436
187Hg,Hg,80,107,187,1474.8672235,0.0128656,12.8656
188Hg,Hg,80,108,188,1485.018392,0.0067868,6.7868
189Hg,Hg,80,109,189,1492.5177288,0.0315441,31.5441
190Hg,Hg,80,110,190,1502.333306,0.015903,15.903
191Hg,Hg,80,111,191,1509.6258382,0.0222897,22.2897
192Hg,Hg,80,112,192,1519.1167872,0.0155328,15.5328
193Hg,Hg,80,113,193,1526.238789,0.0154979,15.4979
194Hg,Hg,80,114,194,1535.4318956,0.0028906,2.8906
195Hg,Hg,80,115,195,1542.33261,0.0231465,23.1465
196Hg,Hg,80,116,196,1551.21652,0.00294,2.94
197Hg,Hg,80,117,197,1558.0021194,0.0032111,3.2111
198Hg,Hg,80,118,198,1566.4875336,0.0004554,0.4554
199Hg,Hg,80,119,199,1573.1506006,0.0005373,0.5373
200Hg,Hg,80,120,200,1581.17912,0.00054,0.54
201Hg,Hg,80,121,201,1587.4097007,0.0007236,0.7236
202Hg,Hg,80,122,202,1595.163801,0.000707,0.707
203Hg,Hg,80,123,203,1601.1590084,0.001624,1.624
204Hg,Hg,80,124,204,1608.651282,0.00051,0.51
205Hg,Hg,80,125,205,1614.3201625,0.003649,3.649
206Hg,Hg,80,126,206,1621.0494938,0.0204352,20.4352
207Hg,Hg,80,127,207,1624.6625184,0.029808,29.808
208Hg,Hg,80,128,208,1629.5118112,0.0307424,30.7424
176Tl,Tl,81,95,176,1356.5971408,0.0830544,83.0544
177Tl,Tl,81,96,177,1368.5932935,0.0216294,21.6294
179Tl,Tl,81,98,179,1389.6654618,0.0386461,38.6461
180Tl,Tl,81,99,180,1398.85758,0.069912,69.912
181Tl,Tl,81,100,181,1410.3372123,0.0091043,9.104299999999999
182Tl,Tl,81,101,182,1418.9369922,0.0119756,11.9756
183Tl,Tl,81,102,183,1430.2683603,0.009333,9.332999999999998
184Tl,Tl,81,103,184,1438.6357768,0.0100096,10.0096
185Tl,Tl,81,104,185,1449.581486,0.020683,20.683
186Tl,Tl,81,105,186,1457.7779946,0.0207576,20.7576
187Tl,Tl,81,106,187,1468.410955,0.008041,8.041
188Tl,Tl,81,107,188,1476.3740956,0.0299108,29.9108
189Tl,Tl,81,108,189,1486.7251056,0.0083727,8.3727
190Tl,Tl,81,109,190,1494.546555,0.007258,7.258
191Tl,Tl,81,110,191,1504.5345995,0.0073535,7.353499999999999
192Tl,Tl,81,111,192,1512.1952064,0.03168,31.68
193Tl,Tl,81,112,193,1521.8714885,0.0067164,6.7164
194Tl,Tl,81,113,194,1529.4030934,0.013968,13.968
195Tl,Tl,81,114,195,1538.6922135,0.0111345,11.1345
196Tl,Tl,81,115,196,1546.10484,0.0121128,12.1128
197Tl,Tl,81,116,197,1555.0337825,0.0135733,13.5733
198Tl,Tl,81,117,198,1562.2796178,0.0075438,7.5438
199Tl,Tl,81,118,199,1570.8815827,0.0279396,27.9396
200Tl,Tl,81,119,200,1577.94074,0.00576,5.760000000000001
201Tl,Tl,81,120,201,1586.1456117,0.0141906,14.1906
202Tl,Tl,81,121,202,1593.0165612,0.0018382,1.8382
203Tl,Tl,81,122,203,1600.868759,0.0011774,1.1774
204Tl,Tl,81,123,204,1607.5248552,0.0011628,1.1628
205Tl,Tl,81,124,205,1615.070893,0.00123,1.23
206Tl,Tl,81,125,206,1621.5747114,0.0012772,1.2772
207Tl,Tl,81,126,207,1628.4271653,0.0054441,5.444100000000001
208Tl,Tl,81,127,208,1632.214168,0.0018512,1.8512
209Tl,Tl,81,128,209,1637.1801611,0.0061028,6.1028
210Tl,Tl,81,129,210,1640.85369,0.011613,11.613
211Tl,Tl,81,130,211,1645.7560065,0.0419257,41.92570000000001
213Tl,Tl,81,132,213,1654.0368243,0.0270084,27.0084
178Pb,Pb,82,96,178,1368.9687902,0.0231756,23.1756
179Pb,Pb,82,97,179,1378.561877,0.0812302,81.2302
180Pb,Pb,82,98,180,1390.625874,0.012402,12.402
181Pb,Pb,82,99,181,1399.8667424,0.0850338,85.03380000000001
182Pb,Pb,82,100,182,1411.6519872,0.0120848,12.0848
183Pb,Pb,82,101,183,1420.478757,0.0289872,28.9872
184Pb,Pb,82,102,184,1432.0216576,0.0128064,12.8064
185Pb,Pb,82,103,185,1440.582605,0.016169,16.169
186Pb,Pb,82,104,186,1451.793612,0.0110112,11.0112
187Pb,Pb,82,105,187,1460.170987,0.0050864,5.086399999999999
188Pb,Pb,82,106,188,1471.0663668,0.0101332,10.1332
189Pb,Pb,82,107,189,1479.1706811,0.0140616,14.0616
190Pb,Pb,82,108,190,1489.814586,0.012521,12.521
191Pb,Pb,82,109,191,1497.7605362,0.0066086,6.6086
192Pb,Pb,82,110,192,1508.0924544,0.0057216,5.7216
193Pb,Pb,82,111,193,1515.8411842,0.0102869,10.2869
194Pb,Pb,82,112,194,1525.8911114,0.0174406,17.4406
195Pb,Pb,82,113,195,1533.4926165,0.0050895,5.0895
196Pb,Pb,82,114,196,1543.1741304,0.0077028,7.7028
197Pb,Pb,82,115,197,1550.6425934,0.0048068,4.8068
198Pb,Pb,82,116,198,1560.035961,0.0087516,8.7516
199Pb,Pb,82,117,199,1567.2715834,0.0068257,6.825699999999999
200Pb,Pb,82,118,200,1576.36202,0.01,10.0
201Pb,Pb,82,119,201,1583.4535182,0.0137484,13.7484
202Pb,Pb,82,120,202,1592.194401,0.0037976,3.7976
203Pb,Pb,82,121,203,1599.111591,0.0065569,6.5569
204Pb,Pb,82,122,204,1607.5062504,0.0011424,1.1424
205Pb,Pb,82,123,205,1614.2379165,0.001148,1.148
206Pb,Pb,82,124,206,1622.324572,0.0011536,1.1536
207Pb,Pb,82,125,207,1629.0623448,0.0011385,1.1385
208Pb,Pb,82,126,208,1636.430224,0.001144,1.144
209Pb,Pb,82,127,209,1640.3675992,0.0017556,1.7556
210Pb,Pb,82,128,210,1645.552776,0.001449,1.449
211Pb,Pb,82,129,211,1649.3886669,0.0022577,2.2577
212Pb,Pb,82,130,212,1654.5159036,0.0018444,1.8444
213Pb,Pb,82,131,213,1658.2418916,0.0069438,6.9438
214Pb,Pb,82,132,214,1663.292637,0.0019688,1.9688
215Pb,Pb,82,133,215,1666.8386915,0.052675,52.675
186Bi,Bi,83,103,186,1439.475855,0.0169446,16.9446
187Bi,Bi,83,104,187,1450.7849521,0.0100045,10.0045
188Bi,Bi,83,105,188,1459.6677952,0.011186,11.186
189Bi,Bi,83,106,189,1470.6089811,0.0208467,20.8467
190Bi,Bi,83,107,190,1479.211541,0.020976,20.976
191Bi,Bi,83,108,191,1489.9263083,0.0074872,7.487200000000001
192Bi,Bi,83,109,192,1498.2928128,0.0301056,30.1056
193Bi,Bi,83,110,193,1508.7141574,0.0075849,7.5849
194Bi,Bi,83,111,194,1516.923927,0.0052574,5.2574
195Bi,Bi,83,112,195,1526.9977905,0.0052845,5.2845
196Bi,Bi,83,113,196,1535.0525764,0.0244216,24.4216
197Bi,Bi,83,114,197,1544.8020556,0.0083331,8.3331
198Bi,Bi,83,115,198,1552.5600354,0.0275616,27.5616
199Bi,Bi,83,116,199,1562.0551168,0.0106067,10.6067
200Bi,Bi,83,117,200,1569.69938,0.0227,22.7
201Bi,Bi,83,118,201,1578.8291313,0.0121806,12.1806
202Bi,Bi,83,119,202,1586.2223114,0.0139986,13.9986
203Bi,Bi,83,120,203,1595.0676686,0.0127687,12.7687
204Bi,Bi,83,121,204,1602.2600028,0.00918,9.180000000000001
205Bi,Bi,83,122,205,1610.750969,0.0048175,4.8175
206Bi,Bi,83,123,206,1617.7849294,0.0076426,7.6426
207Bi,Bi,83,124,207,1625.8825971,0.0024012,2.4012
208Bi,Bi,83,125,208,1632.7695072,0.0023088,2.3088
209Bi,Bi,83,126,209,1640.2292621,0.0013585,1.3585
210Bi,Bi,83,127,210,1644.833904,0.001365,1.365
211Bi,Bi,83,128,211,1649.9724195,0.0054438,5.4438
212Bi,Bi,83,129,212,1654.302568,0.0018444,1.8444
213Bi,Bi,83,130,213,1659.4876221,0.0050907,5.0907
214Bi,Bi,83,131,214,1663.528037,0.0112136,11.2136
215Bi,Bi,83,132,215,1668.7693055,0.005633,5.633
216Bi,Bi,83,133,216,1672.5959136,0.0111888,11.1888
217Bi,Bi,83,134,217,1677.8112547,0.0177072,17.7072
218Bi,Bi,83,135,218,1681.396504,0.0270102,27.0102
186Po,Po,84,102,186,1431.4464768,0.0182838,18.2838
187Po,Po,84,103,187,1440.7955243,0.0326315,32.6315
188Po,Po,84,104,188,1452.2350272,0.0199656,19.9656
189Po,Po,84,105,189,1461.1839669,0.0220563,22.0563
190Po,Po,84,106,190,1472.395994,0.013167,13.167
191Po,Po,84,107,191,1480.9733361,0.0071052,7.1052
192Po,Po,84,108,192,1492.0424064,0.0106368,10.6368
193Po,Po,84,109,193,1500.372543,0.0145329,14.5329
194Po,Po,84,110,194,1511.1231718,0.0129204,12.9204
195Po,Po,84,111,195,1519.3065225,0.006045,6.045
196Po,Po,84,112,196,1529.729922,0.00539,5.39
197Po,Po,84,113,197,1537.7255792,0.0098697,9.8697
198Po,Po,84,114,198,1547.8770978,0.017424,17.424
199Po,Po,84,115,199,1555.7139818,0.0054327,5.432700000000001
200Po,Po,84,116,200,1565.48814,0.00758,7.58
201Po,Po,84,117,201,1573.1389419,0.0049446,4.9446
202Po,Po,84,118,202,1582.6306706,0.0086658,8.665799999999999
203Po,Po,84,119,203,1590.0712296,0.0046487,4.648700000000001
204Po,Po,84,120,204,1599.1727892,0.0100776,10.0776
205Po,Po,84,121,205,1606.424444,0.0100655,10.0655
206Po,Po,84,122,206,1615.1630438,0.004017,4.016999999999999
207Po,Po,84,123,207,1622.1913938,0.0066654,6.6654
208Po,Po,84,124,208,1630.5862144,0.001664,1.664
209Po,Po,84,125,209,1637.5543338,0.0017765,1.7765
210Po,Po,84,126,210,1645.212702,0.001155,1.155
211Po,Po,84,127,211,1649.7634662,0.001266,1.266
212Po,Po,84,128,212,1655.7716856,0.0011448,1.1448
213Po,Po,84,129,213,1660.127112,0.0030459,3.0459
214Po,Po,84,130,214,1666.0148882,0.0014552,1.4552
215Po,Po,84,131,215,1670.158012,0.0021285,2.1285
216Po,Po,84,132,216,1675.905228,0.0018144,1.8144
217Po,Po,84,133,217,1679.8754238,0.0065534,6.5534
218Po,Po,84,134,218,1685.47354,0.001962,1.962
219Po,Po,84,135,219,1689.220146,0.0158337,15.8337
220Po,Po,84,136,220,1694.709368,0.017688,17.688
221Po,Po,84,137,221,1698.2703894,0.0195585,19.5585
222Po,Po,84,138,222,1703.6291988,0.0400488,40.0488
191At,At,85,106,191,1471.2583503,0.0161013,16.1013
192At,At,85,107,192,1480.2678336,0.0278784,27.8784
193At,At,85,108,193,1491.3322107,0.0216353,21.6353
194At,At,85,109,194,1500.0526976,0.0234934,23.4934
195At,At,85,110,195,1510.877823,0.0095745,9.5745
196At,At,85,111,196,1519.3920196,0.0302428,30.2428
197At,At,85,112,197,1529.9054278,0.0079785,7.978499999999999
198At,At,85,113,198,1538.3302308,0.0049104,4.9104
199At,At,85,114,199,1548.5161717,0.0053929,5.3929
200At,At,85,115,200,1556.75202,0.02446,24.46
201At,At,85,116,201,1566.6248736,0.0081807,8.180700000000002
202At,At,85,117,202,1574.5018674,0.0275932,27.5932
203At,At,85,118,203,1584.1406861,0.0106169,10.6169
204At,At,85,119,204,1591.9246488,0.0226644,22.6644
205At,At,85,120,205,1601.105227,0.012054,12.054
206At,At,85,121,206,1608.6314224,0.0135342,13.5342
207At,At,85,122,207,1617.4908171,0.0123993,12.3993
208At,At,85,123,208,1624.8045632,0.0089232,8.9232
209At,At,85,124,209,1633.2897515,0.0047443,4.7443
210At,At,85,125,210,1640.449398,0.007686,7.686
211At,At,85,126,211,1648.1957995,0.0027219,2.7219
212At,At,85,127,212,1653.24808,0.0023956,2.3956
213At,At,85,128,213,1659.2707668,0.004899,4.899
214At,At,85,129,214,1664.1417248,0.0039804,3.9804
215At,At,85,130,215,1670.0904805,0.006622,6.622
216At,At,85,131,216,1674.6485184,0.0035856,3.5856
217At,At,85,132,217,1680.5819324,0.004991,4.991
218At,At,85,133,218,1684.947615,0.0115104,11.5104
219At,At,85,134,219,1690.723143,0.0032412,3.2412
220At,At,85,135,220,1694.814726,0.01397,13.97
221At,At,85,136,221,1700.4790634,0.0139672,13.9672
222At,At,85,137,222,1704.3800916,0.0158286,15.8286
223At,At,85,138,223,1709.9764211,0.0139821,13.9821
224At,At,85,139,224,1713.7647296,0.0223552,22.3552
193Rn,Rn,86,107,193,1481.439629,0.0251093,25.1093
194Rn,Rn,86,108,194,1492.8292434,0.0166646,16.6646
195Rn,Rn,86,109,195,1501.5748995,0.0516945,51.6945
196Rn,Rn,86,110,196,1512.721336,0.0140532,14.0532
197Rn,Rn,86,111,197,1521.257443,0.0161934,16.1934
198Rn,Rn,86,112,198,1532.069451,0.0134244,13.4244
199Rn,Rn,86,113,199,1540.4703032,0.0073033,7.3033
200Rn,Rn,86,114,200,1550.98222,0.0058,5.8
201Rn,Rn,86,115,201,1559.1604974,0.0101304,10.1304
202Rn,Rn,86,116,202,1569.3989636,0.0175134,17.5134
203Rn,Rn,86,117,203,1577.3797711,0.0058058,5.8058
204Rn,Rn,86,118,204,1587.2371572,0.007446,7.446000000000001
205Rn,Rn,86,119,205,1595.048133,0.005084,5.084
206Rn,Rn,86,120,206,1604.5425902,0.0085902,8.5902
207Rn,Rn,86,121,207,1612.1157309,0.0047403,4.7403
208Rn,Rn,86,122,208,1621.2077024,0.0101712,10.1712
209Rn,Rn,86,123,209,1628.5646795,0.0099693,9.9693
210Rn,Rn,86,124,210,1637.299713,0.004557,4.557
211Rn,Rn,86,125,211,1644.5215932,0.0068153,6.8153
212Rn,Rn,86,126,212,1652.4968156,0.0031164,3.1164
213Rn,Rn,86,127,213,1657.6048512,0.0033654,3.3654
214Rn,Rn,86,128,214,1664.2998922,0.0091806,9.1806
215Rn,Rn,86,129,215,1669.220526,0.0060845,6.084499999999999
216Rn,Rn,86,130,216,1675.8695448,0.0057672,5.7672
217Rn,Rn,86,131,217,1680.5356029,0.0041881,4.1881
218Rn,Rn,86,132,218,1687.0480886,0.0023108,2.3108
219Rn,Rn,86,133,219,1691.5074696,0.0021024,2.1024
220Rn,Rn,86,134,220,1697.796144,0.001804,1.804
221Rn,Rn,86,135,221,1702.0080961,0.0057239,5.7239
222Rn,Rn,86,136,222,1708.1788002,0.0019536,1.9536
223Rn,Rn,86,137,223,1712.232356,0.0078273,7.8273
224Rn,Rn,86,138,224,1718.2483136,0.0098112,9.811200000000001
225Rn,Rn,86,139,225,1722.2305725,0.0111375,11.1375
226Rn,Rn,86,140,226,1728.0888408,0.0104864,10.4864
227Rn,Rn,86,141,227,1732.0215316,0.0140967,14.0967
228Rn,Rn,86,142,228,1737.7352196,0.01767,17.67
229Rn,Rn,86,143,229,1741.6875983,0.0130301,13.0301
197Fr,Fr,87,110,197,1511.731508,0.0564405,56.4405
198Fr,Fr,87,111,198,1520.4790854,0.0311256,31.1256
199Fr,Fr,87,112,199,1531.3567201,0.013731,13.731
200Fr,Fr,87,113,200,1540.06584,0.03052,30.52
201Fr,Fr,87,114,201,1550.6821767,0.0090852,9.0852
202Fr,Fr,87,115,202,1559.240525,0.0060398,6.0398
203Fr,Fr,87,116,203,1569.5369676,0.0062321,6.2321
204Fr,Fr,87,117,204,1577.8773924,0.024582,24.582
205Fr,Fr,87,118,205,1587.865835,0.007831,7.831
206Fr,Fr,87,119,206,1595.8741926,0.02781,27.81
207Fr,Fr,87,120,207,1605.5476623,0.0175536,17.5536
208Fr,Fr,87,121,208,1613.434888,0.011648,11.648
209Fr,Fr,87,122,209,1622.6234365,0.011495,11.495
210Fr,Fr,87,123,210,1630.256103,0.013419,13.419
211Fr,Fr,87,124,211,1639.1242343,0.0119848,11.9848
212Fr,Fr,87,125,212,1646.571246,0.0087768,8.7768
213Fr,Fr,87,126,213,1654.6807659,0.0047073,4.7073
214Fr,Fr,87,127,214,1660.1562102,0.0085172,8.5172
215Fr,Fr,87,128,215,1666.9510505,0.0070735,7.0735
216Fr,Fr,87,129,216,1672.3694808,0.0041688,4.1688
217Fr,Fr,87,130,217,1679.097175,0.0065317,6.5317
218Fr,Fr,87,131,218,1684.4237174,0.0042292,4.2292
219Fr,Fr,87,132,219,1690.9375221,0.0068766,6.8766
220Fr,Fr,87,133,220,1696.14346,0.004026,4.026
221Fr,Fr,87,134,221,1702.4198412,0.0048841,4.8841
222Fr,Fr,87,135,222,1707.3903228,0.0074592,7.4592
223Fr,Fr,87,136,223,1713.4574065,0.0019401,1.9401
224Fr,Fr,87,137,224,1718.162432,0.0111776,11.1776
225Fr,Fr,87,138,225,1724.16177,0.01197,11.97
226Fr,Fr,87,139,226,1728.5331568,0.0062376,6.2376
227Fr,Fr,87,140,227,1734.4425774,0.005902,5.902
228Fr,Fr,87,141,228,1738.8121092,0.006726,6.726
229Fr,Fr,87,142,229,1744.599402,0.0049922,4.9922
230Fr,Fr,87,143,230,1748.852196,0.006532,6.532
231Fr,Fr,87,144,231,1754.3297079,0.0077385,7.7385
232Fr,Fr,87,145,232,1758.4087592,0.0139664,13.9664
233Fr,Fr,87,146,233,1763.6328734,0.019572,19.572
201Ra,Ra,88,113,201,1541.5515708,0.020301,20.301
202Ra,Ra,88,114,202,1552.4848168,0.0150086,15.0086
203Ra,Ra,88,115,203,1561.0297045,0.0096831,9.6831
204Ra,Ra,88,116,204,1571.6412552,0.0089148,8.9148
205Ra,Ra,88,117,205,1579.969809,0.0227755,22.7755
206Ra,Ra,88,118,206,1590.2793768,0.0180044,18.0044
207Ra,Ra,88,119,207,1598.4023121,0.0582912,58.2912
208Ra,Ra,88,120,208,1608.2596816,0.0090272,9.0272
209Ra,Ra,88,121,209,1616.2006993,0.0057475,5.7475
210Ra,Ra,88,122,210,1625.687427,0.009198,9.198
211Ra,Ra,88,123,211,1633.3697157,0.0049585,4.9585
212Ra,Ra,88,124,212,1642.4716536,0.0102608,10.2608
213Ra,Ra,88,125,213,1649.9986638,0.0098193,9.8193
214Ra,Ra,88,126,214,1658.3227866,0.005243,5.243
215Ra,Ra,88,127,215,1663.9548535,0.0072025,7.2025
216Ra,Ra,88,128,216,1671.2666928,0.0080136,8.013599999999999
217Ra,Ra,88,129,217,1676.7399474,0.0070525,7.052499999999999
218Ra,Ra,88,130,218,1684.0552538,0.00981,9.809999999999999
219Ra,Ra,88,131,219,1689.378264,0.0068109,6.8109
220Ra,Ra,88,132,220,1696.571338,0.00759,7.590000000000001
221Ra,Ra,88,133,221,1701.9508792,0.004641,4.641
222Ra,Ra,88,134,222,1708.6658682,0.0044622,4.4622
223Ra,Ra,88,135,223,1713.8241523,0.0020962,2.0962
224Ra,Ra,88,136,224,1720.3028864,0.0018144,1.8144
225Ra,Ra,88,137,225,1725.206985,0.0025875,2.5875
226Ra,Ra,88,138,226,1731.6037736,0.001921,1.921
227Ra,Ra,88,139,227,1736.1651896,0.0019522,1.9522
228Ra,Ra,88,140,228,1742.4737892,0.0020064,2.0064
229Ra,Ra,88,141,229,1746.9233398,0.0154346,15.4346
230Ra,Ra,88,142,230,1753.040312,0.010304,10.304
231Ra,Ra,88,143,231,1757.4114558,0.0113652,11.3652
232Ra,Ra,88,144,232,1763.2022968,0.0091408,9.140799999999999
233Ra,Ra,88,145,233,1767.4365052,0.0085977,8.5977
234Ra,Ra,88,146,234,1772.9112726,0.0083772,8.3772
205Ac,Ac,89,116,205,1570.8846395,0.059327,59.327
206Ac,Ac,89,117,206,1579.5778828,0.065096,65.096
207Ac,Ac,89,118,207,1589.9877207,0.0562419,56.24189999999999
208Ac,Ac,89,119,208,1598.4444112,0.06448,64.47999999999999
209Ac,Ac,89,120,209,1608.4317095,0.0558448,55.8448
210Ac,Ac,89,121,210,1616.583822,0.062202,62.202
211Ac,Ac,89,122,211,1626.275748,0.0537628,53.7628
212Ac,Ac,89,123,212,1634.1909548,0.0218784,21.8784
213Ac,Ac,89,124,213,1643.4208404,0.0116724,11.6724
214Ac,Ac,89,125,214,1651.1999036,0.0135462,13.5462
215Ac,Ac,89,126,215,1659.6739455,0.0124055,12.4055
216Ac,Ac,89,127,216,1665.6260904,0.0092232,9.2232
217Ac,Ac,89,128,217,1673.1448216,0.0112189,11.2189
218Ac,Ac,89,129,218,1679.06761,0.0576174,57.6174
219Ac,Ac,89,130,219,1686.4202091,0.0514869,51.48690000000001
220Ac,Ac,89,131,220,1692.31733,0.006138,6.138
221Ac,Ac,89,132,221,1699.6013619,0.0569075,56.9075
222Ac,Ac,89,133,222,1705.581933,0.0047064,4.7064
223Ac,Ac,89,134,223,1712.4499817,0.0069576,6.9576
224Ac,Ac,89,135,224,1718.1122112,0.0040992,4.0992
225Ac,Ac,89,136,225,1724.780385,0.0047475,4.7475
226Ac,Ac,89,137,226,1730.1797928,0.0030962,3.0962
227Ac,Ac,89,138,227,1736.7108068,0.0019295,1.9295
228Ac,Ac,89,139,228,1741.7369844,0.0020976,2.0976
229Ac,Ac,89,140,229,1748.0130134,0.0121141,12.1141
230Ac,Ac,89,141,230,1752.935892,0.015847,15.847
231Ac,Ac,89,142,231,1759.0827408,0.0130515,13.0515
232Ac,Ac,89,143,232,1763.762484,0.0130384,13.0384
