Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
13,12,25,-0.04,0.04,8.549879733383484,0.3419951893353394,49.85223289870037,1,1.0,5.0,1.0,4.0,2.2222222222222223,0.4521,1.3017,199.14037374,200.528415,-1.3880412599999945,6.5e-05
14,11,25,-0.12,0.36,8.549879733383484,0.3419951893353394,58.26096199173391,1,1.0,6.0,1.0,3.0,2.0,-0.8425,1.0898,186.90354557,187.0027725,-0.0992269299999861,0.01
8,18,26,0.3846153846153846,3.8461538461538463,8.776382955329126,0.3375531905895818,17.498757400163925,2,1.0,0.0,1.0,2.0,0.0,-7.3166,0.2704,166.7852804,168.934454,-2.1491735999999837,0.1649492
9,17,26,0.3076923076923077,2.4615384615384617,8.776382955329126,0.3375531905895818,22.539178148587904,0,1.0,1.0,1.0,3.0,0.75,-3.189,0.4898,182.7812482,184.1384922,-1.3572440000000086,0.1070264
10,16,26,0.2307692307692307,1.3846153846153846,8.776382955329126,0.3375531905895818,28.228323152075927,2,1.0,2.0,1.0,4.0,1.3333333333333333,-1.8834,0.6923,200.5897808,201.549686,-0.9599052000000086,0.0184288
11,15,26,0.1538461538461538,0.6153846153846154,8.776382955329126,0.3375531905895818,34.56798729116779,0,1.0,3.0,1.0,5.0,1.875,0.5027,0.753,206.85764484,208.1092338,-1.2515889599999923,0.0035022
12,14,26,0.0769230769230769,0.1538461538461538,8.776382955329126,0.3375531905895818,41.559687970157015,2,1.0,4.0,1.0,6.0,2.4,0.6337,0.7069,214.79973102,216.6806486,-1.880917580000016,2.86e-05
13,13,26,0.0,0.0,8.776382955329126,0.3375531905895818,49.204728012916426,0,1.0,5.0,1.0,5.0,2.5,1.2414,0.5763,211.29239598,211.8938978,-0.6015018199999815,6.76e-05
14,12,26,-0.0769230769230769,0.1538461538461538,8.776382955329126,0.3375531905895818,57.50424047001639,2,1.0,6.0,1.0,4.0,2.4,-0.5571,0.8418,204.89735416,206.0424158,-1.1450616399999944,0.0001066
9,18,27,0.3333333333333333,3.0,8.999999999999998,0.3333333333333333,22.25740888344166,1,1.0,1.0,1.0,2.0,0.6666666666666666,-3.0563,0.8173,186.1979499,185.7509874,0.4469624999999837,0.1201986
10,17,27,0.2592592592592592,1.8148148148148149,8.999999999999998,0.3333333333333333,27.87543211858589,1,1.0,2.0,1.0,3.0,1.2,-1.2981,1.1463,202.85123913,203.0512077,-0.1999685699999815,0.0907713
11,16,27,0.1851851851851851,0.925925925925926,8.999999999999998,0.3333333333333333,34.13584214761351,1,1.0,3.0,1.0,4.0,1.7142857142857142,-0.4121,0.7964,213.9805205,214.8375609,-0.8570403999999883,0.003726
12,15,27,0.1111111111111111,0.3333333333333333,8.999999999999998,0.3333333333333333,41.04013740527574,1,1.0,4.0,1.0,5.0,2.2222222222222223,0.7112,0.6255,220.85071738,223.1240175,-2.273300120000016,4.86e-05
13,14,27,0.037037037037037,0.037037037037037,8.999999999999998,0.3333333333333333,48.58960442843964,1,1.0,5.0,1.0,6.0,2.727272727272727,0.7548,0.2263,222.61432187,224.9519391,-2.3376172300000064,4.86e-05
14,13,27,-0.037037037037037,0.037037037037037,8.999999999999998,0.3333333333333333,56.78536210305851,1,1.0,6.0,1.0,5.0,2.727272727272727,0.0862,0.2461,217.51774841,219.357234,-1.8394855900000096,0.000108
15,12,27,-0.1111111111111111,0.3333333333333333,8.999999999999998,0.3333333333333333,65.62839411754422,1,1.0,5.0,1.0,4.0,2.2222222222222223,-0.8749,0.7942,205.50870695,206.8494138,-1.3407068500000037,0.0090018
9,19,28,0.3571428571428571,3.571428571428572,9.220872584116892,0.3293168780041747,21.989221217872178,0,1.0,1.0,1.0,1.0,0.5,-2.5001,0.464,186.91776027,185.5519876,1.3657726700000126,0.1203468
10,18,28,0.2857142857142857,2.2857142857142856,9.220872584116892,0.3293168780041747,27.53955083493002,2,1.0,2.0,1.0,2.0,1.0,-1.4207,1.5952,208.11734065,206.8736964,1.2436442499999885,0.1260672
11,17,28,0.2142857142857142,1.2857142857142858,9.220872584116892,0.3293168780041747,33.724526892286214,0,1.0,3.0,1.0,3.0,1.5,0.1208,1.2556,218.08187085,218.3794032,-0.2975323500000115,0.0102452
12,16,28,0.1428571428571428,0.5714285714285714,9.220872584116892,0.3293168780041747,40.545629769503286,2,1.0,4.0,1.0,4.0,2.0,0.0309,0.6962,229.86923808,231.6286868,-1.7594487199999946,0.0002604
13,15,28,0.0714285714285714,0.1428571428571428,9.220872584116892,0.3293168780041747,48.0041305014947,0,1.0,5.0,1.0,5.0,2.5,1.0608,0.1804,230.53933656,232.6771132,-2.1377766399999985,5.04e-05
14,14,28,0.0,0.0,9.220872584116892,0.3293168780041747,56.10113449234744,2,1.0,6.0,1.0,6.0,3.0,-0.43,0.0244,232.95770503,236.536846,-3.579140969999997,5.6e-06
15,13,28,-0.0714285714285714,0.1428571428571428,9.220872584116892,0.3293168780041747,64.83761357765162,0,1.0,5.0,1.0,5.0,2.5,-0.105,0.214,220.00702281,221.4095576,-1.4025347900000045,0.001148
16,12,28,-0.1428571428571428,0.5714285714285714,9.220872584116892,0.3293168780041747,74.21443012333523,2,1.0,4.0,1.0,4.0,2.0,-1.9238,0.8996,208.80337839,209.4061508,-0.60277241,0.1600004
9,20,29,0.3793103448275862,4.172413793103448,9.43913067739236,0.3254872647376676,21.733509412857877,1,1.0,1.0,2.0,0.0,0.0,-2.8825,0.2471,189.22972941,186.8769106,2.3528188100000023,0.525364
