Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
71,113,184,0.2282608695652173,9.58695652173913,32.35031759636025,0.1758169434584796,847.008933324405,0,3.0,11.0,4.0,13.0,5.958333333333333,-4.2465,9.0028,1467.3249
71,114,185,0.2324324324324324,9.994594594594597,32.46742297798574,0.1754995836647878,845.480033008842,1,3.0,11.0,4.0,12.0,5.739130434782608,-4.1479,8.1711,1473.2432
71,115,186,0.2365591397849462,10.408602150537634,32.584317547703584,0.175184502944643,843.962112270196,0,3.0,11.0,4.0,11.0,5.5,-4.1945,7.5441,1477.8655
71,116,187,0.2406417112299465,10.828877005347591,32.70100281537152,0.1748716728094733,842.4550338630213,1,3.0,11.0,4.0,10.0,5.238095238095238,-4.3662,6.8406,1483.5898
72,79,151,0.0463576158940397,0.3245033112582781,28.35641333567881,0.1877908167925749,930.7580713971068,1,3.0,10.0,3.0,3.0,2.3076923076923075,-1.7025,3.292,1179.9437
72,80,152,0.0526315789473684,0.4210526315789473,28.48146943560797,0.1873780883921577,928.712442667522,2,3.0,10.0,3.0,2.0,1.6666666666666667,-2.3341,2.4951,1193.942
72,81,153,0.0588235294117647,0.5294117647058824,28.60625158788936,0.1869689646267278,926.6846797908372,1,3.0,10.0,3.0,1.0,0.9090909090909092,-1.9452,1.2739,1205.4913
72,82,154,0.0649350649350649,0.6493506493506493,28.730762177301624,0.1865633907616989,924.6745114829782,2,3.0,10.0,4.0,0.0,0.0,-2.7067,0.8687,1219.0346
72,83,155,0.0709677419354838,0.7806451612903226,28.855003552528785,0.1861613132421212,922.6816723065684,1,3.0,10.0,4.0,1.0,0.9090909090909092,-1.8654,1.1329,1228.7269
72,85,157,0.0828025477707006,1.0764331210191085,29.102687879321483,0.1853674387217929,918.7469478610794,1,3.0,10.0,4.0,3.0,2.3076923076923075,-0.6273,2.014,1249.7855
72,115,187,0.2299465240641711,9.88770053475936,32.70100281537152,0.1748716728094733,866.7261994281225,1,3.0,10.0,4.0,11.0,5.238095238095238,-4.2244,6.9208,1487.7255
72,116,188,0.2340425531914893,10.297872340425531,32.817480272024206,0.1745610652767245,865.1867180355789,2,3.0,10.0,4.0,10.0,5.0,-4.4598,6.2977,1493.9938
72,117,189,0.238095238095238,10.714285714285714,32.93375139020674,0.1742526528582367,863.6581164099538,1,3.0,10.0,4.0,9.0,4.7368421052631575,-3.4257,5.3451,1498.4451
72,118,190,0.2421052631578947,11.136842105263158,33.0498176243004,0.1739464085489495,862.1402607045635,2,3.0,10.0,4.0,8.0,4.444444444444445,-2.9347,4.5399,1504.5154
72,119,191,0.2460732984293193,11.565445026178011,33.16568041084109,0.1736423058159219,860.6330194127171,1,3.0,10.0,4.0,7.0,4.117647058823529,-3.4413,4.4993,1508.7827
73,80,153,0.0457516339869281,0.3202614379084967,28.60625158788936,0.1869689646267278,953.005167538673,1,3.0,9.0,3.0,2.0,1.6363636363636365,-2.4888,2.0831,1191.829
73,81,154,0.0519480519480519,0.4155844155844156,28.730762177301624,0.1865633907616989,950.9379047180072,0,3.0,9.0,3.0,1.0,0.9,-2.2301,1.1227,1203.7663
73,82,155,0.0580645161290322,0.5225806451612903,28.855003552528785,0.1861613132421212,948.8884632255453,1,3.0,9.0,4.0,0.0,0.0,-3.1778,0.7023,1217.5836
73,83,156,0.0641025641025641,0.6410256410256411,28.978978026935597,0.1857626796598436,946.856575930114,0,3.0,9.0,4.0,1.0,0.9,-2.3356,0.9427,1227.6069
73,85,158,0.0759493670886076,0.9113924050632912,29.22613535465364,0.1849755402193268,942.8444236679264,0,3.0,9.0,4.0,3.0,2.25,-1.0505,1.8235,1249.2035
73,115,188,0.2234042553191489,9.382978723404255,32.817480272024206,0.1745610652767245,889.7604882815547,0,3.0,9.0,4.0,11.0,4.95,-3.6177,6.2483,1495.3695
73,116,189,0.2275132275132275,9.783068783068783,32.93375139020674,0.1742526528582367,888.1884700102937,1,3.0,9.0,4.0,10.0,4.7368421052631575,-3.9837,5.7708,1501.6668
73,117,190,0.231578947368421,10.189473684210526,33.0498176243004,0.1739464085489495,886.627502874049,0,3.0,9.0,4.0,9.0,4.5,-3.6678,4.9323,1506.6491
73,118,191,0.2356020942408377,10.602094240837696,33.16568041084109,0.1736423058159219,885.0774516309643,1,3.0,9.0,4.0,8.0,4.235294117647059,-3.4896,4.0771,1512.7394
73,119,192,0.2395833333333333,11.020833333333334,33.28134116883046,0.1733403185876587,883.5381833912319,0,3.0,9.0,4.0,7.0,3.9375,-3.4162,3.9351,1517.5457
73,120,193,0.2435233160621761,11.44559585492228,33.39680130004011,0.1730404212437311,882.0095675641901,1,3.0,9.0,4.0,6.0,3.6,-4.0851,3.8007,1523.416
74,82,156,0.0512820512820512,0.4102564102564102,28.978978026935597,0.1857626796598436,973.375182334867,2,3.0,8.0,4.0,0.0,0.0,-3.8553,0.5377,1218.0946
74,83,157,0.0573248407643312,0.5159235668789809,29.102687879321483,0.1853674387217929,971.3041650517088,1,3.0,8.0,4.0,1.0,0.8888888888888888,-2.9627,0.7267,1228.2879
74,84,158,0.0632911392405063,0.6329113924050633,29.22613535465364,0.1849755402193268,969.2506617484986,2,3.0,8.0,4.0,2.0,1.6,-2.3394,1.2008,1240.5042
74,85,159,0.0691823899371069,0.7610062893081762,29.34932266478004,0.1845869349986166,967.214414864799,1,3.0,8.0,4.0,3.0,2.1818181818181817,-1.6412,1.5879,1250.3735
74,87,161,0.0807453416149068,1.049689440993789,29.59492547535442,0.1838194128904001,963.1926868546342,1,3.0,8.0,4.0,5.0,3.076923076923077,-0.7657,2.3137,1271.7921
74,115,189,0.2169312169312169,8.894179894179894,32.93375139020674,0.1742526528582367,913.063959126801,1,3.0,8.0,4.0,11.0,4.631578947368421,-4.0266,5.6622,1504.2765
74,118,192,0.2291666666666666,10.083333333333334,33.28134116883046,0.1733403185876587,908.2834319584784,2,3.0,8.0,4.0,8.0,4.0,-3.9886,3.7306,1522.7284
74,119,193,0.233160621761658,10.492227979274611,33.39680130004011,0.1730404212437311,906.7120041971988,1,3.0,8.0,4.0,7.0,3.733333333333333,-3.6681,3.3267,1527.5377
74,120,194,0.2371134020618556,10.90721649484536,33.51206218930888,0.172742588604685,905.151395253208,2,3.0,8.0,4.0,6.0,3.4285714285714284,-4.349,3.2446,1533.956
74,121,195,0.241025641025641,11.328205128205129,33.62712520483358,0.1724467959222235,903.6014754482642,1,3.0,8.0,4.0,5.0,3.076923076923077,-4.1618,2.6705,1538.5693
74,122,196,0.2448979591836734,11.755102040816327,33.74199169845321,0.1721530188696593,902.0621173133086,2,3.0,8.0,4.0,4.0,2.6666666666666665,-4.3207,2.1481,1544.7636
