Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
37,46,83,train,True,0.0023323,1.9046636265516281,719.9956049281359,720.043212890625,721.9002685546875,1.8570648431777954,0.04759878337383272
38,45,83,train,True,0.0068309,2.504537479877472,716.706522090435,716.9878540039062,719.2110595703125,2.2232556343078613,0.28128184556961067
39,44,83,train,True,0.0186335,2.7247312831878663,711.4959108066558,711.613525390625,714.2206420898438,2.6070942878723145,0.11763699531555183
40,43,83,train,True,0.0064325,2.73639328956604,704.4915119838714,704.5371704101562,707.2279052734375,2.6907143592834473,0.045678930282592844
41,42,83,train,False,0.1620824,2.5536577463150025,695.4681928396225,695.4560546875,698.0218505859375,2.5657575130462646,-0.012099766731262118
31,53,84,train,True,0.0298116,-0.6300278812646866,697.6602402836085,697.8320922851562,697.0302124023438,-0.8018700480461121,0.1718421667814255
32,52,84,train,True,0.0031668,-0.9912214776873589,711.1693220636248,711.1040649414062,710.1781005859375,-0.9259644746780396,-0.06525700300931936
33,51,84,train,True,0.0031668,-1.6821365869045257,718.0846634423733,718.02685546875,716.4025268554688,-1.624279499053955,-0.05785708785057064
34,50,84,train,True,0.0019572,-2.1074518924951553,727.4227595096827,727.3386840820312,725.3153076171875,-2.0233466625213623,-0.084105229973793
35,49,84,train,True,0.0257292,-1.0458081850409509,728.3769849428535,728.3916625976562,727.3311767578125,-1.0604914426803589,0.014683257639408032
36,48,84,train,True,2.52e-05,-0.19669959910213947,732.2087845600396,732.2655639648438,732.0120849609375,-0.2534695565700531,0.056769957467913634
37,47,84,train,True,0.0021924,1.2412798088788985,728.5750654059649,728.8028564453125,729.8163452148438,1.0134761333465576,0.22780367553234093
38,46,84,train,True,0.0012432,1.6093889778852464,728.6591046744585,728.9111328125,730.2684936523438,1.357365369796753,0.25202360808849344
39,45,84,train,True,0.0043008,2.5959058797359464,721.2622484171391,721.3735961914062,723.858154296875,2.484534978866577,0.1113709008693693
40,44,84,train,True,0.005502,2.339861489534378,717.7445501315593,718.1185302734375,720.0844116210938,1.9658905267715454,0.3739709627628325
41,43,84,train,True,0.0004032,2.670494225025177,706.7862928843498,707.1083374023438,709.456787109375,2.3484408855438232,0.3220533394813536
31,54,85,train,True,0.037264,0.2133771733008325,701.5813005610742,701.5533447265625,701.794677734375,0.24132558703422546,-0.027948413733392963
32,53,85,train,True,0.0037315,-0.4923388338088989,714.0057055330276,714.1503295898438,713.5133666992188,-0.6369786858558655,0.14463985204696655
33,52,85,train,True,0.003077,-0.9368871873617173,723.5999731248617,723.4337158203125,722.6630859375,-0.7706518769264221,-0.16623531043529516
34,51,85,train,True,0.0026095,-1.603537437915802,731.7557591176032,731.8758544921875,730.1522216796875,-1.7236526012420654,0.12011516332626337
35,50,85,train,True,0.003077,-2.1872304594516754,737.3514150297642,737.25537109375,735.1641845703125,-2.0911567211151123,-0.09607373833656307
36,49,85,train,True,0.0019975,-1.0282613319158553,739.4536153358221,739.3778686523438,738.4253540039062,-0.9525384902954102,-0.07572284162044518
37,48,85,train,True,2.55e-05,0.0193930471688509,739.2790078317374,739.2825317382812,739.2984008789062,0.01583698019385338,0.0035560669749975203
38,47,85,train,True,0.0028135,1.1106271409988404,737.2220144605636,737.4361572265625,738.3326416015625,0.8964889645576477,0.2141381764411927
39,46,85,train,True,0.0189635,1.8526924282312394,733.2131034702063,733.3926391601562,735.0657958984375,1.6731822490692139,0.1795101791620255
40,45,85,train,True,0.006426,2.231098736524582,727.6429247009754,727.943359375,729.8740234375,1.9306460618972778,0.3004526746273042
41,44,85,train,True,0.004097,2.345201565027237,720.1215342748166,720.2655029296875,722.4667358398438,2.20125412940979,0.14394743561744683
42,43,85,train,True,0.0158355,2.2738049733638763,710.7755114328861,710.7131958007812,713.04931640625,2.336107015609741,-0.062302042245864886
32,54,86,train,False,0.4378002,0.2980374642089009,718.7773409537599,718.4981689453125,719.0753784179688,0.5772151350975037,-0.27917767088860274
33,53,86,train,True,0.0034486,-0.46131073802709577,727.2565377888084,727.278076171875,726.7952270507812,-0.48279643058776855,0.021485692560672787
34,52,86,train,True,0.0025198,-0.8198174178600312,738.0389336287975,738.0367431640625,737.2191162109375,-0.8176358342170715,-0.002181583642959617
35,51,86,train,True,0.0030788,-1.670026224255562,742.4760564976931,742.3834838867188,740.8060302734375,-1.5774550437927246,-0.0925711804628373
36,50,86,train,True,2.58e-05,-2.397256140112877,749.4692165893316,749.2345581054688,747.0719604492188,-2.1625821590423584,-0.2346739810705185
37,49,86,train,True,0.0001978,-1.1950952410697937,747.7180444598198,747.9335327148438,746.52294921875,-1.4105448722839355,0.21544963121414185
38,48,86,train,True,2.58e-05,-0.1426166688092053,748.7765888367779,748.92724609375,748.6339721679688,-0.2932796776294708,0.15066300882026554
39,47,86,train,True,0.0141384,1.2427645933628082,742.7035244691372,742.9049072265625,743.9462890625,1.0413932800292969,0.20137131333351133
40,46,86,train,True,0.003569,1.3606039083003998,740.5446084940434,740.8084716796875,741.9052124023438,1.0966919660568237,0.26391194224357606
41,45,86,train,True,0.0054954,2.177644040584564,730.8984667992592,731.191162109375,733.0761108398438,1.8849546909332275,0.29268934965133653
42,44,86,train,True,0.0029326,1.8298338252305983,725.0557252568007,725.3856811523438,726.8855590820312,1.4998555183410645,0.3299783068895339
33,54,87,train,True,0.0029841,0.318154027312994,732.1634743906558,732.005126953125,732.4816284179688,0.4765104651451111,-0.15835643783211706
34,53,87,train,True,0.0022446,-0.3303097202256322,741.8101681186631,742.031005859375,741.4798583984375,-0.5511201620101929,0.22081044178456066
35,52,87,train,True,0.0031668,-0.8909404817223548,748.8963115754724,748.7142333984375,748.00537109375,-0.708834707736969,-0.18210577398538585
36,51,87,train,True,0.0002436,-1.8586919009685516,754.7084843814373,754.7496948242188,752.8497924804688,-1.899931788444519,0.04123988747596741
37,50,87,train,True,2.61e-05,-2.702874221801758,758.0116510772705,757.8556518554688,755.3087768554688,-2.546870231628418,-0.15600399017333988
38,49,87,train,True,2.61e-05,-1.2559940218925476,757.2565433382988,757.3555297851562,756.0005493164062,-1.3550058603286743,0.09901183843612671
39,48,87,train,True,0.001131,-7.326333783566952e-05,754.3921020719316,754.7115478515625,754.3920288085938,-0.31946974992752075,0.31939648658968506
40,47,87,train,True,0.0041499,0.9000520613789559,750.0320768448711,750.2579345703125,750.93212890625,0.6741856336593628,0.2258664277195931
41,46,87,train,True,0.0068034,1.4221754467487335,743.8333177173138,744.0029296875,745.2554931640625,1.2525254487991333,0.16964999794960023
42,45,87,train,True,0.0028536,1.6522682189941407,735.9921409606934,736.2308959960938,737.6444091796875,1.413489580154419,0.23877863883972172
43,44,87,train,True,0.0041934,1.684809587597847,726.2143603342771,726.2537841796875,727.899169921875,1.6453638076782227,0.03944577991962439
34,54,88,train,True,0.0033616,0.429315697401762,747.5260676033795,747.5604248046875,747.9553833007812,0.3949772119522095,0.034338485449552536
35,53,88,train,True,0.003168,-0.4089366425573826,753.4630748261511,753.6098022460938,753.0541381835938,-0.5556623339653015,0.1467256914079189
