Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
12,20,32,0.25,2.0,10.079368399158984,0.3149802624737183,38.780499755613654,2,1.0,4.0,2.0,0.0,0.0,0.878,0.69,249.639,249.7229152,-0.08391519999997854,0.0032608
13,19,32,0.1875,1.125,10.079368399158984,0.3149802624737183,45.91429906909219,0,1.0,5.0,1.0,1.0,0.8333333333333334,1.4825,0.3999,259.3028,259.2110368,0.0917632000000026,0.0071712
14,18,32,0.125,0.5,10.079368399158984,0.3149802624737183,53.65880477965952,2,1.0,6.0,1.0,2.0,1.5,0.5362,0.2986,270.9992,271.407008,-0.40780800000004547,0.0002976
15,17,32,0.0625,0.125,10.079368399158984,0.3149802624737183,62.014946414618116,0,1.0,5.0,1.0,3.0,1.875,1.4976,0.1074,270.1655,270.8518496,-0.6863495999999714,4.16e-05
16,16,32,0.0,0.0,10.079368399158984,0.3149802624737183,70.98354879730523,2,1.0,4.0,1.0,4.0,2.0,0.3935,0.0149,272.4143,271.7801632,0.6341368000000216,6.4e-06
17,15,32,-0.0625,0.125,10.079368399158984,0.3149802624737183,80.56534973677832,0,1.0,3.0,1.0,5.0,1.875,0.425,0.1124,257.7159,258.3169856,-0.6010856000000331,0.0005632
18,14,32,-0.125,0.5,10.079368399158984,0.3149802624737183,90.7610138502651,2,1.0,2.0,1.0,6.0,1.5,-1.1312,0.3557,245.6821,246.4002848,-0.7181848000000173,0.0017696
11,22,33,0.3333333333333333,3.6666666666666665,10.288276478101775,0.311765953881872,31.927180166135212,1,1.0,3.0,2.0,2.0,1.2,-3.9013,4.3161,233.0022,233.9675646,-0.9653646000000151,0.4499121
12,21,33,0.2727272727272727,2.4545454545454546,10.288276478101775,0.311765953881872,38.384752756796665,1,1.0,4.0,2.0,1.0,0.8,-2.0419,1.8614,251.3466,252.0024606,-0.6558606000000111,0.0026631
13,20,33,0.21212121212121213,1.4848484848484849,10.288276478101775,0.311765953881872,45.44575312012595,1,1.0,5.0,2.0,0.0,0.0,0.9404,0.2017,265.4007,264.6803676,0.7203323999999611,0.0069861
14,19,33,0.15151515151515152,0.7575757575757576,10.288276478101775,0.311765953881872,53.11122774776263,1,1.0,6.0,1.0,1.0,0.8571428571428571,0.6775,0.0993,275.8562,275.9149668,-0.058766800000000785,0.0006996
15,18,33,0.09090909090909091,0.2727272727272727,10.288276478101775,0.311765953881872,61.382096681374826,1,1.0,5.0,1.0,2.0,1.4285714285714286,1.6355,0.2261,280.1145,280.9556409,-0.8411408999999708,0.001089
